instance,vehicle_id,route,num_customers,route_load,route_length,capacity_limit,s_max,feasible,total_solution_length,execution_time_sec
A-n80-k10,1,depot -> 50 -> 74 -> 37 -> 43 -> 52 -> 78 -> 4 -> 14 -> depot,8,100,115.43,100,900.0,True,2072.04,38.779572957999996
A-n80-k10,2,depot -> 71 -> 68 -> 73 -> 77 -> 51 -> 23 -> 46 -> 33 -> 5 -> 34 -> depot,10,100,267.47,100,900.0,True,2072.04,38.779572957999996
A-n80-k10,3,depot -> 41 -> 22 -> 2 -> 8 -> 11 -> 72 -> 15 -> depot,7,99,148.23,100,900.0,True,2072.04,38.779572957999996
A-n80-k10,4,depot -> 39 -> 67 -> 54 -> 75 -> 40 -> 61 -> depot,6,100,170.65,100,900.0,True,2072.04,38.779572957999996
A-n80-k10,5,depot -> 13 -> 6 -> 30 -> 18 -> 42 -> 26 -> 47 -> 65 -> depot,8,99,194.71,100,900.0,True,2072.04,38.779572957999996
A-n80-k10,6,depot -> 45 -> 63 -> 64 -> 12 -> 25 -> 7 -> 31 -> depot,7,99,181.29,100,900.0,True,2072.04,38.779572957999996
A-n80-k10,7,depot -> 32 -> 58 -> 62 -> 69 -> 9 -> 38 -> 3 -> depot,7,99,232.3,100,900.0,True,2072.04,38.779572957999996
A-n80-k10,8,depot -> 59 -> 55 -> 10 -> 56 -> 16 -> 57 -> 70 -> 66 -> 48 -> 20 -> 27 -> 36 -> 17 -> 44 -> 79 -> 35 -> depot,16,99,375.32,100,900.0,True,2072.04,38.779572957999996
A-n80-k10,9,depot -> 24 -> 80 -> 19 -> 49 -> 29 -> 53 -> depot,6,100,201.32,100,900.0,True,2072.04,38.779572957999996
A-n80-k10,10,depot -> 76 -> 21 -> 60 -> 28 -> depot,4,47,185.31,100,900.0,True,2072.04,38.779572957999996
